,Player,Faction,Faction Detachment,Primary,Secondary,Unique Faction List,Chapter,ChapterDetachment,Unique Chapter List,Specialist Name,Pure List?,Wins,Losses,Draws,Games,Avg VP,Avg Oppon VP,Win Percentage,Pure Win Percentage,Games by Primary,Games by Secondary,Games Mono,Primary Wins,Primary Loss,Primary Draw,Win % By Faction,VP by Faction,Opp VP by Faction,Win % By Primary,Win % by Chapter,VP by Primary,Top List,ITC 100,Tournament,Missions,Ruleset,Date
1448,paul hoch,Space Wolves,1,1.0,,1.0,Space Wolves,1,1.0,,Mono,3,3,0,6,26.5,24.833333333333332,0.5,0.5,6.0,,6.0,3.0,3.0,0.0,0.5,26.5,24.833333333333332,0.5,0.5,26.5,No,,LVO,ITC,Fall FAQ,2020-01-24
1449,paul hoch,Space Wolves,1,,1.0,,Space Wolves,1,,,,3,3,0,6,26.5,24.833333333333332,0.5,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1450,paul hoch,Space Wolves,1,,1.0,,Space Wolves,1,,,,3,3,0,6,26.5,24.833333333333332,0.5,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1451,paul mckelvey,T'au Empire,1,1.0,,1.0,Sa'cea Sept,1,1.0,,Mono,3,2,0,5,30.4,27.2,0.6,0.6,5.0,,5.0,3.0,2.0,0.0,0.6,30.4,27.2,0.6,0.6,30.4,No,,LVO,ITC,Fall FAQ,2020-01-24
1452,paul mckelvey,T'au Empire,1,,1.0,,Sa'cea Sept,1,,,,3,2,0,5,30.4,27.2,0.6,,,5.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1453,paul mckelvey,T'au Empire,1,,1.0,,Sa'cea Sept,1,,,,3,2,0,5,30.4,27.2,0.6,,,5.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1454,paul miglino,Raven Guard,1,1.0,,1.0,Raven Guard,1,1.0,,Mono,1,3,0,4,23.25,26.5,0.25,0.25,4.0,,4.0,1.0,3.0,0.0,0.25,23.25,26.5,0.25,0.25,23.25,No,,LVO,ITC,Fall FAQ,2020-01-24
1455,paul miglino,Imperial Fists,1,,1.0,,Imperial Fists,1,1.0,,,1,3,0,4,23.25,26.5,0.25,,,4.0,,,,,,,,,0.25,,No,,LVO,ITC,Fall FAQ,2020-01-24
1456,paul winters,Chaos Daemons,1,1.0,,1.0,Slaanesh,1,1.0,,,3,3,0,6,22.833333333333332,22.0,0.5,,6.0,,,3.0,3.0,0.0,0.5,22.833333333333332,22.0,0.5,0.5,22.833333333333332,No,,LVO,ITC,Fall FAQ,2020-01-24
1457,paul winters,Chaos Space Marines,1,,1.0,1.0,Iron Warriors,1,1.0,,,3,3,0,6,22.833333333333332,22.0,0.5,,,6.0,,,,,0.5,22.833333333333332,22.0,,0.5,,No,,LVO,ITC,Fall FAQ,2020-01-24
1458,paul winters,Chaos Space Marines,1,,1.0,,Emperor's Children,1,1.0,,,3,3,0,6,22.833333333333332,22.0,0.5,,,6.0,,,,,,,,,0.5,,No,,LVO,ITC,Fall FAQ,2020-01-24
1459,paul zuber,T'au Empire,1,1.0,,1.0,Sa'cea Sept,1,1.0,,Mono,3,3,0,6,25.833333333333332,23.333333333333332,0.5,0.5,6.0,,6.0,3.0,3.0,0.0,0.5,25.833333333333332,23.333333333333332,0.5,0.5,25.833333333333332,No,,LVO,ITC,Fall FAQ,2020-01-24
1460,paul zuber,T'au Empire,1,,1.0,,T'au Sept,1,1.0,,,3,3,0,6,25.833333333333332,23.333333333333332,0.5,,,6.0,,,,,,,,,0.5,,No,,LVO,ITC,Fall FAQ,2020-01-24
1461,paul zuber,T'au Empire,1,,1.0,,T'au Sept,1,,,,3,3,0,6,25.833333333333332,23.333333333333332,0.5,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1462,paulo picolomini,Blood Angels,1,1.0,,1.0,Blood Angels,1,1.0,,Mono,1,5,0,6,17.833333333333332,24.166666666666668,0.16666666666666666,0.16666666666666666,6.0,,6.0,1.0,5.0,0.0,0.16666666666666666,17.833333333333332,24.166666666666668,0.16666666666666666,0.16666666666666666,17.833333333333332,No,,LVO,ITC,Fall FAQ,2020-01-24
1463,paw rasmussen,Orks,1,1.0,,1.0,Deathskulls,1,1.0,Dread Waagh,Mono,2,4,0,6,25.166666666666668,23.666666666666668,0.3333333333333333,0.3333333333333333,6.0,,6.0,2.0,4.0,0.0,0.3333333333333333,25.166666666666668,23.666666666666668,0.3333333333333333,0.3333333333333333,25.166666666666668,No,,LVO,ITC,Fall FAQ,2020-01-24
1464,paw rasmussen,Orks,1,,1.0,,Deathskulls,1,,,,2,4,0,6,25.166666666666668,23.666666666666668,0.3333333333333333,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1465,paw rasmussen,Orks,1,,1.0,,Deathskulls,1,,,,2,4,0,6,25.166666666666668,23.666666666666668,0.3333333333333333,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1466,perry spilman,Iron Hands,1,1.0,,1.0,Iron Hands,1,1.0,,Mono,1,4,0,5,20.0,25.6,0.2,0.2,5.0,,5.0,1.0,4.0,0.0,0.2,20.0,25.6,0.2,0.2,20.0,No,,LVO,ITC,Fall FAQ,2020-01-24
1467,perry spilman,Iron Hands,1,,1.0,,Iron Hands,1,,,,1,4,0,5,20.0,25.6,0.2,,,5.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1468,peter soderberg,Space Wolves,1,1.0,,1.0,Space Wolves,1,1.0,,Mono,2,4,0,6,17.166666666666668,25.5,0.3333333333333333,0.3333333333333333,6.0,,6.0,2.0,4.0,0.0,0.3333333333333333,17.166666666666668,25.5,0.3333333333333333,0.3333333333333333,17.166666666666668,No,,LVO,ITC,Fall FAQ,2020-01-24
1469,phil stinnett,Drukhari,1,1.0,,1.0,Custom Cult,1,1.0,,,3,3,0,6,25.83,24.17,0.5,,6.0,,,3.0,3.0,0.0,0.5,25.83,24.17,0.5,0.5,25.83,No,,LVO,ITC,Fall FAQ,2020-01-24
1470,phil stinnett,Asuryani,1,,1.0,1.0,Custom Craftworld,1,1.0,,,3,3,0,6,25.83,24.17,0.5,,,6.0,,,,,0.5,25.83,24.17,,0.5,,No,,LVO,ITC,Fall FAQ,2020-01-24
1471,phil stinnett,Drukhari,1,,1.0,,Kabal of the Black Heart,1,1.0,,,3,3,0,6,25.83,24.17,0.5,,,6.0,,,,,,,,,0.5,,No,,LVO,ITC,Fall FAQ,2020-01-24
